network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider
2.16.61.46/31,2921044,,,0,0
2.16.61.48/30,6255148,,,0,0
2.16.61.52/30,2921044,,,0,0
2.16.61.56/30,6255148,,,0,0
2.16.61.60/30,2921044,,,0,0
2.16.61.64/30,6255148,,,0,0
2.16.61.68/30,2921044,,,0,0
2.16.61.72/30,6255148,,,0,0
2.16.61.76/30,2921044,,,0,0
2.16.61.80/30,6255148,,,0,0
2.16.61.84/30,2921044,,,0,0
2.16.61.88/30,6255148,,,0,0
2.16.61.92/30,2921044,,,0,0
2.16.61.96/30,6255148,,,0,0
2.16.61.100/30,2921044,,,0,0
2.16.61.104/30,6255148,,,0,0
2.16.61.108/30,2921044,,,0,0
2.16.61.112/30,6255148,,,0,0
2.16.61.116/32,2921044,,,0,0
2.16.61.117/32,6255148,,,0,0
2.16.61.118/31,6255148,,,0,0
2.16.61.120/29,6255148,,,0,0
2.16.61.128/25,6255148,,,0,0
2.16.62.0/23,6255148,,,0,0
2.16.64.0/30,6255148,,,0,0
2.16.64.4/30,2921044,,,0,0
2.16.64.8/30,6255148,,,0,0
2.16.64.12/30,2921044,,,0,0
2.16.64.16/30,6255148,,,0,0
2.16.64.20/30,2921044,,,0,0
2.16.64.24/30,6255148,,,0,0
2.16.64.28/30,2921044,,,0,0
2.16.64.32/30,6255148,,,0,0
2.16.64.36/30,2921044,,,0,0
2.16.64.40/30,6255148,,,0,0
2.16.64.44/30,2921044,,,0,0
2.16.64.48/30,6255148,,,0,0
2.16.64.52/30,2921044,,,0,0
2.16.64.56/30,6255148,,,0,0
2.16.64.60/30,2921044,,,0,0
2.16.64.64/26,6255148,,,0,0
2.16.64.128/25,6255148,,,0,0
2.16.65.0/30,6255148,,,0,0
2.16.65.4/30,2264397,,,0,0
2.16.65.8/30,6255148,,,0,0
2.16.65.12/30,2264397,,,0,0
2.16.65.16/30,6255148,,,0,0
2.16.65.20/31,2264397,,,0,0
2.16.65.22/31,6255148,,,0,0
2.16.65.24/29,6255148,,,0,0
2.16.65.32/27,6255148,,,0,0
2.16.65.64/26,6255148,,,0,0
2.16.65.128/26,6255148,,,0,0
2.16.65.192/30,6255148,,,0,0
2.16.65.196/30,2264397,,,0,0
2.16.65.200/30,6255148,,,0,0
2.16.65.204/30,2264397,,,0,0
2.16.65.208/30,6255148,,,0,0
2.16.65.212/30,2264397,,,0,0
2.16.65.216/29,6255148,,,0,0
2.16.65.224/27,6255148,,,0,0
